!!SBtab	SBtabVersion='1.0' Document='Nair_2016_optimized' TableName='Reaction' TableTitle='Reaction' TableType = 'Reaction'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R126	ReactionFlux126	kf_R126*CaMKII_CaM_Ca2-kr_R126*CaMKII_CaM_Ca2_psd	1	Spine	CaMKII_CaM_Ca2 <=> CaMKII_CaM_Ca2_psd
R127	ReactionFlux127	kf_R127*CaMKII_CaM_Ca4-kr_R127*CaMKII_CaM_Ca4_psd	1	Spine	CaMKII_CaM_Ca4 <=> CaMKII_CaM_Ca4_psd
R128	ReactionFlux128	kf_R128*CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd-kr_R128*CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	1	Spine	CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd <=> CaMKII_CaM_Ca4_CaMKII_CaM_Ca4
R129	ReactionFlux129	kf_R129*pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd-kr_R129*pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	1	Spine	pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd <=> pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4
R130	ReactionFlux130	kf_R130*CaMKII_CaM_Ca4*CaMKII_CaM_Ca4-kr_R130*CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	1	Spine	CaMKII_CaM_Ca4 + CaMKII_CaM_Ca4 <=> CaMKII_CaM_Ca4_CaMKII_CaM_Ca4
R131	ReactionFlux131	kf_R131*CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	0	Spine	CaMKII_CaM_Ca4_CaMKII_CaM_Ca4 <=> pCaMKII_CaM_Ca4 + CaMKII_CaM_Ca4
R132	ReactionFlux132	kf_R132*pCaMKII_CaM_Ca4*CaMKII_CaM_Ca4-kr_R132*pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	1	Spine	pCaMKII_CaM_Ca4 + CaMKII_CaM_Ca4 <=> pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4
R133	ReactionFlux133	kf_R133*pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	0	Spine	pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4 <=> pCaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4
R134	ReactionFlux134	kf_R134*CaMKII_CaM_Ca4_psd*CaMKII_CaM_Ca4_psd-kr_R134*CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	1	Spine	CaMKII_CaM_Ca4_psd + CaMKII_CaM_Ca4_psd <=> CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd
R135	ReactionFlux135	kf_R135*CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	0	Spine	CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd <=> pCaMKII_CaM_Ca4_psd + CaMKII_CaM_Ca4_psd
R136	ReactionFlux136	kf_R136*pCaMKII_CaM_Ca4_psd*CaMKII_CaM_Ca4_psd-kr_R136*pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	1	Spine	pCaMKII_CaM_Ca4_psd + CaMKII_CaM_Ca4_psd <=> pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd
R137	ReactionFlux137	kf_R137*pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	0	Spine	pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd <=> pCaMKII_CaM_Ca4_psd + pCaMKII_CaM_Ca4_psd
